[ 남양주진건지구S-1BL공동주택건설공사 ],,,,,,,,,,,,,,,,
품      명,규      격,단위,내     역     서,,,,,,,,,비  고,,,,
ST'L파라펫난간/팬트하우스,"황주관60*40*2.3t+40*34*1.6t@650, H=1200, 분체도장",M,,"30,030",-,"12,870",-,-,-,"42,900",-,,,,,
ST'L발코니난간,"황주관60*40*2.3t+40*34*1.6t@650, H=700, 분체도장",M,"11,431","27,755","317,267,405","11,895","135,971,745",-,-,"39,650","453,239,150",,,,,
집수정 그레이팅,1200*1200*1200,개,,"111,630",-,"39,860",-,"7,971",-,"159,461",-,,,,,
스텐레스옥탑점검구,1060*1060,개소,,"83,216",-,"29,716",-,"5,934",-,"118,866",-,,,,,
오픈 트렌치,W:600,M,,"8,354",-,"2,977",-,588,-,"11,919",-,,,,,
오픈트랜치,W:220,M,,"8,354",-,"2,977",-,588,-,"11,919",-,,,,,
ST'L발코니난간(유공판),"황주관60*40*2.3t+40*34*1.6t@650, H=270, 분체도장",M,56,"27,755","1,554,280","11,895","666,120",-,-,"39,650","2,220,400",,,,,
ST'L발코니난간(유공판),"황주관60*40*2.3t+40*34*1.6t@650, H=700, 분체도장",M,328,"27,755","9,103,640","11,895","3,901,560",-,-,"39,650","13,005,200",,,,,
오픈트랜치,W:100,M,182,"8,354","1,520,428","2,977","541,814",588,"107,016","11,919","2,169,258",,,,,
경량철골천정틀,"M-BAR,H:1M미만,인서트유",M2,"13,563","5,066","68,710,158","4,446","60,301,098",-,-,"9,512","129,011,256",,,,,
경량철골천정틀,"M-BAR,H:1이상,인서트유",M2,56,"5,066","283,696","5,480","306,880",-,-,"10,546","590,576",,,,,
경량철골천정틀,아파트세대,M2,"120,788","2,998","362,122,424","1,964","237,227,632",-,-,"4,962","599,350,056",,,,,
세대욕실천정틀,천정틀+ABS천정재+몰딩+점검구포함,M2,,"13,959",-,"9,306",-,-,-,"23,265",-,,,,,
세대욕실천정틀,천정틀+PVC판넬+몰딩+점검구포함,M2,"12,028","13,959","167,898,852","9,306","111,932,568",-,-,"23,265","279,831,420",,,,,
최상층발코니천정,비드법2종2호20mm+목재틀+PVC천정재,M2,,"11,374",-,"5,170",-,-,-,"16,544",-,,,,,
최상층발코니천정,복합단열재20mm+표면판,M2,,"7,858",-,"5,170",-,-,-,"13,028",-,,,,,
욕실천정틀,천정틀+PVC판넬+몰딩+점검구포함,M2,,"13,959",-,"9,306",-,-,-,"23,265",-,,,,,
최상층발코니천정,복합단열재20mm+목재틀+석고보드T9.5,M2,,"8,272",-,"7,238",-,-,-,"15,510",-,,,,,
기준층발코니천정,목재틀+석고보드T9.5,M2,"9,724","5,170","50,273,080","5,280","51,342,720",-,-,"10,450","101,615,800",,,,,
최상층발코니천정,목재틀+석고보드T9.5,M2,431,"5,170","2,228,270","5,280","2,275,680",-,-,"10,450","4,503,950",,,,,
AL Sheet B 설치,"외벽, T3, 틀(□-50*50*T2.9 ST'L PIPE+방청P.)+코킹포함",M2,,"91,198",-,"32,571",-,"6,514",-,"130,283",-,,,,,
"ST'S판넬 A 설치/1~4,14동 주출입구 정면GATE","외벽(17.94㎡), T1.2, 불소수지도장, 틀+코킹포함",개소,,"1,840,623",-,"657,365",-,"131,473",-,"2,629,461",-,,,,,
"ST'S판넬 A 설치/5~8,10~11동 주출입구 정면GATE","외벽(17.64㎡), T1.2, 불소수지도장, 틀+코킹포함",개소,,"1,809,830",-,"646,363",-,"129,269",-,"2,585,462",-,,,,,
ST'S판넬 A 설치/12~13동 주출입구 정면GATE,"외벽(18.1㎡), T1.2, 불소수지도장, 틀+코킹포함",개소,,"1,857,032",-,"663,227",-,"132,641",-,"2,652,900",-,,,,,
ST'S판넬 A 설치/주출입구 측AW하부,"외벽, T1.2, 불소수지도장, 틀+코킹포함",M2,,"102,592",-,"36,634",-,"7,320",-,"146,546",-,,,,,
철재커텐박스(ㄱ자형),"150*150*1.2t, STL(도장 유)",M,,"10,340",-,"10,340",-,-,-,"20,680",-,,,,,
파라펫링,"스테인리스, D100*19t",개,149,"32,886","4,900,014","11,745","1,750,005","2,347","349,703","46,978","6,999,722",,,,,
엘리베이터후크,Ø100*22t STL,개,34,"26,593","904,162","9,491","322,694","1,892","64,328","37,976","1,291,184",,,,,
<내역제외>건식PD전면판(단열제외)설치,"1.6T(열간압연강판,분체소부도장)",M2,"15,257","37,262","568,506,334","20,615","314,523,055","4,123","62,904,611","62,000","945,934,000",,,,,
<내역제외>건식PD전면판(단열20T)설치,"1.6T(열간압연강판,분체소부도장)",M2,"1,898","39,060","74,135,880","21,700","41,186,600","4,340","8,237,320","65,100","123,559,800",,,,,
철재커텐박스(ㄱ자형),"120*120*1.2t, STL(도장 유)",M,10,"10,340","103,400","10,340","103,400",-,-,"20,680","206,800",,,,,
AL몰딩설(W형),"칼라, 15*15*15*15*1.0mm",M,"20,298",723,"14,675,454",517,"10,494,066",-,-,"1,240","25,169,520",,,,,
AL. SHEET 판넬설치,"평판 T=3 불소수지,틀포함",M2,219,"86,856","19,021,464","33,495","7,335,405","3,718","814,242","124,069","27,171,111",,,,,
AL. SHEET 판넬설치/캐노피,"평판 T=2 불소수지,틀포함",M2,92,"86,856","7,990,752","33,495","3,081,540","3,718","342,056","124,069","11,414,348",,,,,
SSTL PL설치/캐노피후레임,"평판 T=1.2 불소수지,틀포함",M2,85,"86,856","7,382,760","33,495","2,847,075","3,718","316,030","124,069","10,545,865",,,,,
거터설치/캐노피,"SSTL PL,90+90+90",M,134,"130,284","17,458,056","50,248","6,733,232","5,577","747,318","186,109","24,938,606",,,,,
[ 합           계 ],,,,,"2,419,499,224",,"1,223,614,902",,"99,355,775",,"3,742,469,901",,,,,
010213  미  장  공  사,,,,,,,,,,,,,,,,
수지미장/세대(ALC블럭면),내벽 THK:5mm,㎡,"7,827",-,-,"4,180","32,716,860",-,-,"4,180","32,716,860",,,,,
수지미장/ELEV홀(ALC블럭면),내벽 THK:5mm,㎡,,-,-,"4,180",-,-,-,"4,180",-,,,,,
수지미장/계단실,걸레받이 THK:5mm,㎡,,-,-,"4,180",-,-,-,"4,180",-,,,,,
모르타르 바름,"내벽, 6mm(초벌)",M2,"6,538",-,-,"3,657","23,909,466",-,-,"3,657","23,909,466",,,,,
모르타르 바름,"내벽, 15mm",M2,"103,860",-,-,"6,270","651,202,200",-,-,"6,270","651,202,200",,,,,
바탕몰탈바르기,욕실벽12mm,M2,,-,-,"6,270",-,-,-,"6,270",-,,,,,
모르타르 바름,"외벽, 18mm",M2,"1,214",-,-,"6,792","8,245,488",-,-,"6,792","8,245,488",,,,,
모르타르 바름,"바닥, 24mm",M2,"2,532",-,-,"3,135","7,937,820",-,-,"3,135","7,937,820",,,,,
"모르타르 바름(실외기실,기준층)","바닥, 30mm",M2,"2,100",-,-,"4,180","8,778,000",-,-,"4,180","8,778,000",,,,,
"모르타르 바름(실외기실,피로티층)","바닥, 95mm",M2,17,-,-,"4,180","71,060",-,-,"4,180","71,060",,,,,
모르타르 바름(대피공간),"바닥, 40mm",M2,,-,-,"3,135",-,-,-,"3,135",-,,,,,
모르타르 바름(실외기실),"바닥, 40mm",M2,,-,-,"4,180",-,-,-,"4,180",-,,,,,
모르타르 바름(대피공간),"바닥, 70mm",M2,,-,-,"4,180",-,-,-,"4,180",-,,,,,
쇠흙손마감,,M2,"19,054",-,-,"2,090","39,822,860",-,-,"2,090","39,822,860",,,,,
쇠흙손마감,방수전,M2,225,-,-,"2,090","470,250",-,-,"2,090","470,250",,,,,
기계쇠흙손마감,POWER TROWEL,M2,,-,-,"2,090",-,-,-,"2,090",-,,,,,
콘크리트면 정리,벽,M2,"275,759",-,-,"2,970","819,004,230",-,-,"2,970","819,004,230",,,,,
콘크리트면 정리,천정,M2,"15,236",-,-,"2,970","45,250,920",-,-,"2,970","45,250,920",,,,,
구배모르타르,세대욕조하부10mm,M2,"2,083",-,-,"4,180","8,706,940",-,-,"4,180","8,706,940",,,,,
판넬히팅(기준층),T=110mm(완충재30+기포40+몰탈40),M2,"131,494","6,440","846,821,360","6,270","824,467,380",550,"72,321,700","13,260","1,743,610,440",,,,,
판넬히팅(최하층),T=170mm(단열80+필름0.05*2+기포50+몰탈40),M2,,"16,600",-,"6,270",-,550,-,"23,420",-,,,,,
판넬히팅(최하층),T=155mm(단열65+필름0.05*2+기포50+몰탈40),M2,"3,796","16,600","63,013,600","6,270","23,800,920",550,"2,087,800","23,420","88,902,320",,,,,
판넬히팅(최하층/피로티),T=165mm(단열65+필름0.05*2+기포60+몰탈40),M2,"1,119","16,600","18,575,400","6,270","7,016,130",550,"615,450","23,420","26,206,980",,,,,
판넬히팅(최하층/피로티),T=170mm(단열70+필름0.05*2+기포60+몰탈40),M2,,"16,600",-,"6,270",-,550,-,"23,420",-,,,,,
판넬히팅(최하층/피로티),T=110mm(단열65+몰탈45),M2,,"14,300",-,"6,270",-,550,-,"21,120",-,,,,,
바닥테두리완충재,30mm,M2,"24,789",-,-,"1,254","31,085,406",-,-,"1,254","31,085,406",,,,,
신발장하부(최하층),경량기포95,M2,15,"10,120","151,800","5,500","82,500",-,-,"15,620","234,300",,,,,
신발장하부(최하층/피로티),경량기포105,M2,4,"10,120","40,480","5,500","22,000",-,-,"15,620","62,480",,,,,
신발장하부(기준층),경량기포120,M2,509,"10,120","5,151,080","5,500","2,799,500",-,-,"15,620","7,950,580",,,,,
현관창고바탕(기준층),경량기포130,M2,942,"10,120","9,533,040","5,500","5,181,000",-,-,"15,620","14,714,040",,,,,
현관창고바탕(최하층),경량기포175,M2,27,"10,120","273,240","5,500","148,500",-,-,"15,620","421,740",,,,,
현관창고바탕(최하층/피로티),경량기포185,M2,7,"10,120","70,840","5,500","38,500",-,-,"15,620","109,340",,,,,
신발장하부(최하층),경량기포125+합판4.8t,M2,,"10,120",-,"5,500",-,-,-,"15,620",-,,,,,
신발장하부(최하층/피로티),비드법2종1호70+경량기포55+합판4.8t,M2,,"10,120",-,"5,500",-,-,-,"15,620",-,,,,,
신발장하부(기준층),경량기포105+합판4.8t,M2,,"10,120",-,"5,500",-,-,-,"15,620",-,,,,,
ELEV주위모르타르충전,,M,"6,107",-,-,"3,135","19,145,445",-,-,"3,135","19,145,445",,,,,
시멘트모르터 충전,창호주위,M,"83,523",-,-,"1,045","87,281,535",-,-,"1,045","87,281,535",,,,,
걸레받이비드 설치,"AL, H=10mm",M,4,731,"2,924","1,881","7,524",-,-,"2,612","10,448",,,,,
미장용코너비드 설치,"AL, H=13mm",M,5,731,"3,655","1,881","9,405",-,-,"2,612","13,060",,,,,
창문틀 주위 충전,"방수모르타르충전, 세대외부창",M,"17,141",-,-,"1,045","17,912,345",-,-,"1,045","17,912,345",,,,,
창문틀 주위 충전,발포우레탄 충전,M,"159,585",-,-,"1,045","166,766,325",-,-,"1,045","166,766,325",,,,,
[ 합           계 ],,,,,"943,637,419",,"2,831,880,509",,"75,024,950",,"3,850,542,878",,,,,
010214  창호 및 유리공사,(오류수정),,,-,-,-,-,"69,300",-,"69,300",-,,,,,
알루미늄 방충망,"불소수지, 미서기(후레임 포함)",M2,49,"21,736","1,065,064","10,032","491,568","1,672","81,928","33,440","1,638,560",,,,,
씨스템루버,,M2,,"167,197",-,"59,713",-,"11,942",-,"238,852",-,,,,,
윈도우필름,사생활보호필름,M2,,"30,690",-,"5,000",-,-,-,"35,690",-,,,,,
유리문,"유리문, 10*1100*2100mm, 손보호, 투명, 강화유리문",개,-,"184,140",-,-,-,-,-,"184,140",-,,,,,
유리문,"유리문, 10*1200*2200mm, 손보호, 투명, 강화유리문",개,,"184,140",-,-,-,-,-,"184,140",-,,,,,
도어클로저,"도어클로저, K-1830, KS3호, 고급스톱형, 40∼65kg",조,"2,985","34,650","103,430,250",-,-,-,-,"34,650","103,430,250",,,,,
도어클로저,방화용,조,789,"34,650","27,338,850",-,-,-,-,"34,650","27,338,850",,,,,
PVC방충망(백색),,M2,"11,818","21,945","259,346,010","6,270","74,098,860","3,135","37,049,430","31,350","370,494,300",,,,,
PVC롤방충망,,M2,,"36,575",-,"10,450",-,"5,225",-,"52,250",-,,,,,
도어힌지,"도어힌지, 황동, 가락지2개, 101.6*88.9*2.7mm",개,"20,220","3,465","70,062,300",-,-,-,-,"3,465","70,062,300",,,,,
피벗힌지,"피벗힌지, 65kg이하, K1100",조,"3,801","12,870","48,918,870",-,-,-,-,"12,870","48,918,870",,,,,
★오토힌지,,조,27,"79,200","2,138,400",-,-,-,-,"79,200","2,138,400",,,,,
플로어힌지,"플로어힌지, KS3호, 105kg, 강화유리문(K-8300)",조,-,"34,650",-,-,-,-,-,"34,650",-,,,,,
자동경첩,"자동경첩, 오토힌지, 85kg이하",개,,"79,200",-,-,-,-,-,"79,200",-,,,,,
도어체인,"도어체인, 캐스팅 120",개,"1,685","1,485","2,502,225",-,-,-,-,"1,485","2,502,225",,,,,
도어스톱,"도어스톱, 일자형 120mm",개,"6,328","1,188","7,517,664",-,-,-,-,"1,188","7,517,664",,,,,
도어스톱,말굽형,개,"1,685",891,"1,501,335",-,-,-,-,891,"1,501,335",,,,,
도어핸들,"도어핸들, KNOB 9000 스텐, (현관, 방화문)",조,870,"7,425","6,459,750",-,-,-,-,"7,425","6,459,750",,,,,
도어핸들,"도어핸들, LEVER 3300 황동, (주거용-침실)",조,"9,698","11,880","115,212,240",-,-,-,-,"11,880","115,212,240",,,,,
도어핸들,"도어핸들, LEVER 황동, (주거용-욕실)",조,"3,370","11,880","40,035,600",-,-,-,-,"11,880","40,035,600",,,,,
디지털도어록,도어록일체형,EA,"1,685","182,600","307,681,000",-,-,-,-,"182,600","307,681,000",,,,,
도어핸들,"도어핸들, LEVER 황동, (복지관용)",조,,"11,165",-,-,-,-,-,"11,165",-,,,,,
도어핸들,매립형(방화도어),EA,,"4,950",-,-,-,-,-,"4,950",-,,,,,
유리주위코킹,"5*5, 실리콘",M,,122,-,143,-,-,-,265,-,,,,,
"AGW_12X12/80+80mm불소수지,S+G",1.200 x 1.200 = 1.440,EA,,"220,077",-,"101,574",-,"16,929",-,"338,580",-,,,,,
"AG_10X4/100mm불소수지,G",1.000 x 0.400 = 0.400,EA,,"67,298",-,"31,036",-,"5,120",-,"103,454",-,,,,,
"AG_12X4/100mm불소수지,G",1.200 x 0.400 = 0.480,EA,,"78,793",-,"36,366",-,"6,061",-,"121,220",-,,,,,
"AG_14X4/100mm불소수지,G",1.400 x 0.400 = 0.560,EA,,"84,227",-,"38,874",-,"6,479",-,"129,580",-,,,,,
"AG_16X4/100mm불소수지,G",1.600 x 0.400 = 0.640,EA,,"88,302",-,"40,755",-,"6,792",-,"135,849",-,,,,,
"AG_18X4/100mm불소수지,G",1.800 x 0.400 = 0.720,EA,,"93,945",-,"43,367",-,"7,210",-,"144,522",-,,,,,
"AG_24X4/100mm불소수지,G",2.400 x 0.400 = 0.960,EA,,"112,964",-,"52,145",-,"8,673",-,"173,782",-,,,,,
"AG_26.5X4/100mm불소수지,G",2.650 x 0.400 = 1.060,EA,,"121,951",-,"56,325",-,"9,300",-,"187,576",-,,,,,
"AG_30X4/100mm불소수지,G",3.000 x 0.400 = 1.200,EA,,"136,163",-,"62,909",-,"10,450",-,"209,522",-,,,,,
"AG_33X4/100mm불소수지,G",3.300 x 0.400 = 1.320,EA,,"145,464",-,"67,193",-,"11,181",-,"223,838",-,,,,,
ASDG_26X23/자동문및유리포함,2.600 x 2.300 = 5.980,EA,,"1,177,984",-,"420,702",-,"84,135",-,"1,682,821",-,,,,,
ASD_20X23/자동문및유리포함,2.000 x 2.300 = 4.600,EA,,"987,987",-,"352,852",-,"70,570",-,"1,411,409",-,,,,,
ASD_26X23/자동문및유리포함,2.600 x 2.300 = 5.980,EA,,"1,177,984",-,"420,702",-,"84,135",-,"1,682,821",-,,,,,
"AW_10X12/100mm불소수지,F",1.000 x 1.200 = 1.200,EA,,"60,505",-,"27,901",-,"4,598",-,"93,004",-,,,,,
"AW_12X12/100mm불소수지,F",1.200 x 1.200 = 1.440,EA,,"65,939",-,"30,409",-,"5,120",-,"101,468",-,,,,,
"AW_12X4/100mm불소수지,S",1.200 x 0.400 = 0.480,EA,,"48,906",-,"22,572",-,"3,762",-,"75,240",-,,,,,
"AW_16.5X12/100mm불소수지,F",1.650 x 1.200 = 1.980,EA,,"78,270",-,"36,157",-,"6,061",-,"120,488",-,,,,,
"AW_18.5X12/100mm불소수지,F",1.850 x 1.200 = 2.220,EA,,"83,809",-,"38,665",-,"6,479",-,"128,953",-,,,,,
"AW_18X12/100mm불소수지,F",1.800 x 1.200 = 2.160,EA,,"82,346",-,"38,038",-,"6,374",-,"126,758",-,,,,,
"AW_19.5X12/100mm불소수지,F",1.950 x 1.200 = 2.340,EA,,"86,526",-,"39,919",-,"6,688",-,"133,133",-,,,,,
"AW_26.2X15/100mm불소수지,F",2.620 x 1.500 = 3.930,EA,,"154,346",-,"71,269",-,"11,913",-,"237,528",-,,,,,
"AW_26.6X15/100mm불소수지,F",2.660 x 1.500 = 3.990,EA,,"155,496",-,"71,791",-,"11,913",-,"239,200",-,,,,,
"AW_26X15/100mm불소수지,F",2.600 x 1.500 = 3.900,EA,,"153,824",-,"71,060",-,"11,808",-,"236,692",-,,,,,
"AW_27.1X15/100mm불소수지,F",2.710 x 1.500 = 4.065,EA,,"156,854",-,"72,418",-,"12,017",-,"241,289",-,,,,,
"AW_6X29.4/100mm불소수지,F",0.600 x 2.940 = 1.764,EA,,"97,289",-,"44,935",-,"7,419",-,"149,643",-,,,,,
"AW_8.5X12/100mm불소수지,F",0.850 x 1.200 = 1.020,EA,,"56,325",-,"26,020",-,"4,284",-,"86,629",-,,,,,
"CAW1_82645/100mm불소-2,3,4,14동",1.200 x 82.645 = 99.174,EA,,"4,310,311",-,"1,989,366",-,"331,578",-,"6,631,255",-,,,,,
"CAW_50445/100mm불소-10,11동",1.200 x 50.445 = 60.534,EA,,"2,667,467",-,"1,231,114",-,"205,133",-,"4,103,714",-,,,,,
CAW_65845/100mm불소-13동,1.200 x 65.845 = 79.014,EA,,"3,453,202",-,"1,593,729",-,"265,639",-,"5,312,570",-,,,,,
CAW_67245/100mm불소-7동,1.200 x 67.245 = 80.694,EA,,"3,837,762",-,"1,771,275",-,"295,212",-,"5,904,249",-,,,,,
"CAW_71445/100mm불소-12,13동",1.200 x 71.445 = 85.734,EA,,"3,738,905",-,"1,725,608",-,"287,584",-,"5,752,097",-,,,,,
CAW_72845/100mm불소-5~9동,1.200 x 72.845 = 87.414,EA,,"3,810,279",-,"1,758,630",-,"293,122",-,"5,862,031",-,,,,,
CAW_77045/100mm불소-14동,1.200 x 77.045 = 92.454,EA,,"4,024,608",-,"1,857,487",-,"309,633",-,"6,191,728",-,,,,,
CAW_78445/100mm불소-5~9동,1.200 x 78.445 = 94.134,EA,,"4,095,982",-,"1,890,509",-,"315,067",-,"6,301,558",-,,,,,
CAW_79845/100mm불소-1동,1.200 x 79.845 = 95.814,EA,,"4,167,460",-,"1,923,427",-,"320,606",-,"6,411,493",-,,,,,
FSD_08X12/볼트조임식,0.800 x 1.200 = 0.960,EA,,"65,659",-,"23,450",-,"4,683",-,"93,792",-,,,,,
"FSD_09X18/F1.6t도장,D0.6t칼라",0.900 x 1.800 = 1.620,EA,,"110,803",-,"39,570",-,"7,910",-,"158,283",-,,,,,
FSD_6X12/볼트조임식,0.600 x 1.200 = 0.720,EA,,"49,238",-,"17,587",-,"3,515",-,"70,340",-,,,,,
"SDA_11X22/F1.6t도장,D0.8t/EGI",1.100 x 2.200 = 2.420,EA,,"165,522",-,"59,112",-,"11,818",-,"236,452",-,,,,,
SD_08X12/볼트조임식,0.800 x 1.200 = 0.960,EA,,"65,659",-,"23,450",-,"4,683",-,"93,792",-,,,,,
"SD_09X18/F1.6t도장,D0.8t/EGI",0.900 x 1.800 = 1.620,EA,,"110,803",-,"39,570",-,"7,910",-,"158,283",-,,,,,
"SD_09X21/F1.6t도장,D0.8t/EGI",0.900 x 2.100 = 1.890,EA,,"129,269",-,"46,168",-,"9,233",-,"184,670",-,,,,,
BPW_12X6/59A/일면무늬목래핑,1.200 x 1.600 = 1.920,EA,,"339,023",-,"17,843",-,-,-,"356,866",-,,,,,
BPW_18X12/59A/일면무늬목래핑,1.800 x 1.200 = 2.160,EA,,"346,469",-,"18,234",-,-,-,"364,703",-,,,,,
BPW_24X21/59A/일면무늬목래핑,2.400 x 2.100 = 5.040,EA,,"579,865",-,"30,518",-,-,-,"610,383",-,,,,,
BP_16X12/59A/일면무늬목래핑,1.600 x 1.200 = 1.920,EA,,"173,929",-,"9,154",-,-,-,"183,083",-,,,,,
BP_16X21/59A/일면무늬목래핑,1.600 x 2.100 = 3.360,EA,,"258,512",-,"13,605",-,-,-,"272,117",-,,,,,
"D2_10X22/59A/F1.6t도장,D0.8t/EGI",1.000 x 2.200 = 2.200,EA,,"190,960",-,"40,590",-,"7,150",-,"238,700",-,,,,,
"DF_07X21/59A/F:래핑,D:래핑",0.700 x 2.100 = 1.470,EA,,"120,697",-,"51,727",-,-,-,"172,424",-,,,,,
DP_16X12/59A/일면무늬목래핑,1.600 x 1.200 = 1.920,EA,,"181,474",-,"9,551",-,-,-,"191,025",-,,,,,
DP_16X25/59A/일면무늬목래핑,1.600 x 2.500 = 4.000,EA,,"288,988",-,"15,209",-,-,-,"304,197",-,,,,,
"FSDS_08X21/59A/F1.6t도장,D0.8t/EGI",0.800 x 2.100 = 1.680,EA,,"224,908",-,"41,038",-,"8,199",-,"274,145",-,,,,,
PD_075X21/59A/터닝도어/합성수지,0.750 x 2.100 = 1.575,EA,,"267,645",-,"14,086",-,-,-,"281,731",-,,,,,
PL_08X11/59A/일면무늬목래핑,0.800 x 1.100 = 0.880,EA,,"290,081",-,"15,266",-,-,-,"305,347",-,,,,,
"WDF_09X21/59A/F:래핑,D:래핑",0.900 x 2.100 = 1.890,EA,,"128,012",-,"54,862",-,-,-,"182,874",-,,,,,
"WDF_10X21/59A/F:래핑,D:래핑",1.000 x 2.100 = 2.100,EA,,"130,207",-,"55,803",-,-,-,"186,010",-,,,,,
"D2_10X22/59A-기본형/F1.6t도장,D0.8t/EGI",1.000 x 2.200 = 2.200,EA,,"190,960",-,"40,590",-,"7,150",-,"238,700",-,,,,,
"DF_07X21/59A-기본형/F:래핑,D:래핑",0.700 x 2.100 = 1.470,EA,,"120,697",-,"51,727",-,-,-,"172,424",-,,,,,
DP_1612/59A-기본형/일면무늬목래핑,1.600 x 1.200 = 1.920,EA,,"138,714",-,"7,299",-,-,-,"146,013",-,,,,,
DP_16X25/59A-기본형/일면무늬목래핑,1.600 x 2.500 = 4.000,EA,,"288,988",-,"15,209",-,-,-,"304,197",-,,,,,
DP_18X25/59A-기본형/일면무늬목래핑,1.800 x 2.500 = 4.500,EA,,"307,255",-,"16,171",-,-,-,"323,426",-,,,,,
DP_24X25/59A-기본형/일면무늬목래핑,2.400 x 2.500 = 6.000,EA,,"350,242",-,"18,433",-,-,-,"368,675",-,,,,,
"FSD_08X21/59A-기본형/F1.6t도장,D0.8t/EGI",0.800 x 2.100 = 1.680,EA,,"224,908",-,"41,038",-,"8,199",-,"274,145",-,,,,,
PD_08X21/59A-기본형/터닝도어/합성수지,0.800 x 2.100 = 1.680,EA,,"272,509",-,"14,341",-,-,-,"286,850",-,,,,,
PL_08X11/59A-기본형/일면무늬목래핑,0.800 x 1.100 = 0.880,EA,,"290,081",-,"15,266",-,-,-,"305,347",-,,,,,
"WDF_09X21/59A-기본형/F:래핑,D:래핑",0.900 x 2.100 = 1.890,EA,,"128,012",-,"54,862",-,-,-,"182,874",-,,,,,
"WDF_10X21/59A-기본형/F:래핑,D:래핑",1.000 x 2.100 = 2.100,EA,,"130,207",-,"55,803",-,-,-,"186,010",-,,,,,
BPW_10X12/59B/일면무늬목래핑,1.000 x 1.200 = 1.200,EA,,"257,915",-,"13,574",-,-,-,"271,489",-,,,,,
BPW_18X12/59B/일면무늬목래핑,1.800 x 1.200 = 2.160,EA,,"346,469",-,"18,234",-,-,-,"364,703",-,,,,,
BPW_24X21/59B/일면무늬목래핑,2.400 x 2.100 = 5.040,EA,,"579,865",-,"30,518",-,-,-,"610,383",-,,,,,
BP_14X12/59B/일면무늬목래핑,1.400 x 1.200 = 1.680,EA,,"163,505",-,"8,605",-,-,-,"172,110",-,,,,,
BP_16X21/59B/일면무늬목래핑,1.600 x 2.100 = 3.360,EA,,"258,512",-,"13,605",-,-,-,"272,117",-,,,,,
"D2_10X22/59B/F1.6t도장,D0.8t/EGI",1.000 x 2.200 = 2.200,EA,,"190,960",-,"40,590",-,"7,150",-,"238,700",-,,,,,
"DF_07X21/59B/F:래핑,D:래핑",0.700 x 2.100 = 1.470,EA,,"120,697",-,"51,727",-,-,-,"172,424",-,,,,,
"DF_08X21/59B/F:래핑,D:래핑",0.800 x 2.100 = 1.680,EA,,"122,892",-,"52,668",-,-,-,"175,560",-,,,,,
DP_12X25/59B/일면무늬목래핑,1.200 x 2.500 = 3.000,EA,,"261,985",-,"13,788",-,-,-,"275,773",-,,,,,
DP_16X25/59B/일면무늬목래핑,1.600 x 2.500 = 4.000,EA,,"288,988",-,"15,209",-,-,-,"304,197",-,,,,,
"FSDS_08X21/59B/F1.6t도장,D0.8t/EGI",0.800 x 2.100 = 1.680,EA,,"224,908",-,"41,038",-,"8,199",-,"274,145",-,,,,,
PD_08X21/59B/터닝도어/합성수지,0.800 x 2.100 = 1.680,EA,,"272,509",-,"14,341",-,-,-,"286,850",-,,,,,
PL_08X11/59B/일면무늬목래핑,0.800 x 1.100 = 0.880,EA,,"290,081",-,"15,266",-,-,-,"305,347",-,,,,,
"WDF_09X21/59B/F:래핑,D:래핑",0.900 x 2.100 = 1.890,EA,,"128,012",-,"54,862",-,-,-,"182,874",-,,,,,
"WDF_10X21/59B/F:래핑,D:래핑",1.000 x 2.100 = 2.100,EA,,"130,207",-,"55,803",-,-,-,"186,010",-,,,,,
WFF_8.5X21/59B/F:래핑,0.850 x 2.100 = 1.785,EA,,"69,492",-,"29,782",-,-,-,"99,274",-,,,,,
BPW_16X12/74/일면무늬목래핑,1.600 x 1.200 = 1.920,EA,,"316,289",-,"16,646",-,-,-,"332,935",-,,,,,
BPW_18X12/74/일면무늬목래핑,1.800 x 1.200 = 2.160,EA,,"346,469",-,"18,234",-,-,-,"364,703",-,,,,,
BPW_30X21/74/일면무늬목래핑,3.000 x 2.100 = 6.300,EA,,"652,534",-,"34,343",-,-,-,"686,877",-,,,,,
BP_16X12/74/일면무늬목래핑,1.600 x 1.200 = 1.920,EA,,"173,929",-,"9,154",-,-,-,"183,083",-,,,,,
BP_18X21/74/일면무늬목래핑,1.800 x 2.100 = 3.780,EA,,"276,678",-,"14,561",-,-,-,"291,239",-,,,,,
"D2_10X22/74/F1.6t도장,D0.8t/EGI",1.000 x 2.200 = 2.200,EA,,"190,960",-,"40,590",-,"7,150",-,"238,700",-,,,,,
"DF_07X21/74/F:래핑,D:래핑",0.700 x 2.100 = 1.470,EA,,"142,642",-,"61,132",-,-,-,"203,774",-,,,,,
"DF_08X21/74/F:래핑,D:래핑",0.800 x 2.100 = 1.680,EA,,"145,236",-,"62,244",-,-,-,"207,480",-,,,,,
DP_16X12/74/일면무늬목래핑,1.600 x 1.200 = 1.920,EA,,"181,474",-,"9,551",-,-,-,"191,025",-,,,,,
DP_18X25/74/일면무늬목래핑,1.800 x 2.500 = 4.500,EA,,"307,255",-,"16,171",-,-,-,"323,426",-,,,,,
"FSD_08X21/74/F1.6t도장,D0.8t/EGI",0.800 x 2.100 = 1.680,EA,,"224,908",-,"41,038",-,"8,199",-,"274,145",-,,,,,
